post_date,job_family,count_id_indexed
2020-03-28,Sales,0.4248
2020-03-28,Security,0.6054
2020-03-28,Skilled Trades,0.5269
2020-03-28,Supply Chain Staff,0.5157
2020-03-28,Unassigned,0.5094
2020-03-29,,0.4818
2020-03-29,Customer Service,0.4042
2020-03-29,Entertainment and Recreation,0.3463
2020-03-29,Facilities/Constr,0.4948
2020-03-29,Finance/Insurance,0.4591
2020-03-29,Food & Beverage,0.2991
2020-03-29,Healthcare,0.6193
2020-03-29,Hospitality Staff,0.3890
2020-03-29,Human Resources,0.4887
2020-03-29,IT,0.5387
2020-03-29,Manufacturing/Operations Staff,0.6580
2020-03-29,Marketing/Advertising,0.4018
2020-03-29,Product Management,0.5404
2020-03-29,Retail Staff,0.4297
2020-03-29,Sales,0.4678
2020-03-29,Security,0.6335
2020-03-29,Skilled Trades,0.5512
2020-03-29,Supply Chain Staff,0.5406
2020-03-29,Unassigned,0.5325
2020-03-30,,0.4717
2020-03-30,Customer Service,0.4009
2020-03-30,Entertainment and Recreation,0.3425
2020-03-30,Facilities/Constr,0.4948
2020-03-30,Finance/Insurance,0.4586
2020-03-30,Food & Beverage,0.3038
2020-03-30,Healthcare,0.6028
2020-03-30,Hospitality Staff,0.3881
2020-03-30,Human Resources,0.4924
2020-03-30,IT,0.5329
2020-03-30,Manufacturing/Operations Staff,0.6564
2020-03-30,Marketing/Advertising,0.4096
2020-03-30,Product Management,0.5406
2020-03-30,Retail Staff,0.4247
2020-03-30,Sales,0.4654
2020-03-30,Security,0.6440
2020-03-30,Skilled Trades,0.5434
2020-03-30,Supply Chain Staff,0.5044
2020-03-30,Unassigned,0.5283
2020-03-31,,0.4691
2020-03-31,Customer Service,0.4204
2020-03-31,Entertainment and Recreation,0.3458
2020-03-31,Facilities/Constr,0.4729
2020-03-31,Finance/Insurance,0.4649
2020-03-31,Food & Beverage,0.3184
2020-03-31,Healthcare,0.5593
2020-03-31,Hospitality Staff,0.3714
2020-03-31,Human Resources,0.5073
2020-03-31,IT,0.5092
2020-03-31,Manufacturing/Operations Staff,0.6603
2020-03-31,Marketing/Advertising,0.4224
2020-03-31,Product Management,0.5840
2020-03-31,Retail Staff,0.4418
2020-03-31,Sales,0.4552
2020-03-31,Security,0.6238
2020-03-31,Skilled Trades,0.5215
2020-03-31,Supply Chain Staff,0.4870
2020-03-31,Unassigned,0.5566
2020-04-01,,0.4591
2020-04-01,Customer Service,0.4216
